1953 0.283105 14053133 5289185 3044400 23 252 57 23 252 57 368957 20368
1984 0.281408 14506468 5459807 3142608 23 257 57 23 257 57 380859 21026
2048 0.296465 14974436 5635935 3243984 23 260 57 23 260 57 393147 21666
2080 0.310057 15442404 5812063 3345360 23 263 61 23 263 61 405435 22690
2112 0.310168 15924987 5993693 3449904 23 270 64 23 270 64 418105 23399
2178 0.313714 16422660 6181001 3557715 23 271 68 23 271 68 431173 24125
2211 0.329691 16920333 6368309 3665526 23 272 68 23 272 68 444241 25214
2244 0.337962 17433078 6561291 3776604 23 276 68 23 276 68 457703 25978
2312 0.348308 17961370 6760123 3891048 23 279 68 23 279 68 471575 26760
2346 0.358181 18489662 6958955 4005492 23 300 68 23 298 68 485447 27916
2380 0.368806 19033483 7163633 4123302 23 302 68 23 302 68 499725 28737
2450 0.390031 19593308 7374333 4244577 23 310 68 23 310 68 514425 29577
2485 0.387471 20153133 7585033 4365852 23 311 68 23 311 68 529125 30802
2520 0.398740 20728944 7801751 4490592 23 316 68 23 316 68 544243 31682
2592 0.407868 21321216 8024663 4618896 23 320 68 23 320 68 559795 32582
2628 0.421663 21913488 8247575 4747200 23 319 68 23 319 68 575347 33878
2664 0.436804 22522203 8476677 4879068 23 324 68 23 324 68 591329 34819
2738 0.443208 23147836 8712145 5014599 23 327 68 23 327 68 607757 35781
2775 0.455057 23773469 8947613 5150130 23 326 68 23 326 68 624185 37150
2812 0.465518 24416002 9189443 5289324 23 330 68 23 330 68 641055 38154
2888 0.478091 25075910 9437811 5432280 23 335 68 23 335 68 658383 39180
2926 0.490151 25735818 9686179 5575236 23 356 68 23 356 68 675711 39180
2964 0.503162 26413083 9941081 5721954 23 361 68 23 361 68 693493 40211
3042 0.519089 27108180 10202693 5872533 23 373 68 23 373 68 711745 41225
3081 0.539809 27803277 10464305 6023112 23 374 68 23 374 68 729997 41225
3120 0.546739 28516188 10732623 6177552 23 378 68 23 378 68 748715 42282
3200 0.565909 29247388 11007823 6335952 23 383 68 23 383 68 767915 43322
3240 0.574183 29978588 11283023 6494352 23 386 68 23 386 68 787115 44922
3280 0.590811 30728059 11565101 6656712 23 391 68 23 390 68 806793 46045
3362 0.594192 31496276 11854233 6823131 23 393 68 23 392 68 826965 47193
3403 0.641170 32264493 12143365 6989550 23 393 68 23 392 68 847137 48874
3444 0.644387 33051438 12439547 7160028 23 399 68 23 399 68 867799 50066
3528 0.642924 33857586 12742955 7334664 23 402 68 23 402 68 888967 51284
3570 0.669434 34663734 13046363 7509300 23 426 68 23 425 68 910135 53048
3612 0.709108 35489067 13356993 7688094 23 431 68 23 431 68 931805 54311
3698 0.708450 36334060 13675021 7871145 23 444 68 23 444 68 953993 55601
3741 0.706311 37179053 13993049 8054196 23 445 68 23 445 68 976181 57450
3784 0.748131 38043688 14318471 8241504 23 450 68 23 448 68 998883 58786
3872 0.747641 38928440 14651463 8433168 23 457 68 23 455 68 1022115 60150
3916 0.758326 39813192 14984455 8624832 23 456 68 23 455 68 1045347 62086
3960 0.784869 40718043 15325013 8820852 23 464 68 23 462 68 1069105 63497
4050 0.799259 41643468 15673313 9021327 23 467 68 23 465 68 1093405 64937
4095 0.819583 42568893 16021613 9221802 23 469 68 23 467 68 1117705 66962
4140 0.832813 43514874 16377651 9426732 23 474 68 23 473 68 1142543 68450
4232 0.847241 44481886 16741603 9636216 23 476 68 23 475 68 1167935 69968
4278 0.872078 45448898 17105555 9845700 23 500 68 23 499 68 1193327 72084
4324 0.891648 46436923 17477417 10059738 23 509 68 23 506 68 1219269 73651
4418 0.914976 47446436 17857365 10278429 23 523 68 23 520 68 1245777 75249
4465 0.920553 48455949 18237313 10497120 23 523 68 23 520 68 1272285 77458
4512 0.929669 49486932 18625343 10720464 23 528 68 23 525 68 1299355 79106
4608 0.963289 50539860 19021631 10948560 23 533 68 23 529 68 1327003 80786
4656 0.985656 51592788 19417919 11176656 23 534 68 23 530 68 1354651 80786
4704 1.006558 52667643 19822461 11409504 23 540 68 23 537 68 1382873 82469
4802 1.007211 53764900 20235433 11647203 23 544 68 23 541 68 1411685 84184
4851 1.047750 54862157 20648405 11884902 23 545 68 23 542 68 1440497 84184
4900 1.185633 55981798 21069803 12127452 23 553 68 23 550 68 1469895 85902
5000 1.076454 57124298 21499803 12374952 23 557 68 23 553 68 1499895 87652
5050 1.103526 58266798 21929803 12622452 23 584 68 23 580 68 1529895 87652
5100 1.124888 59432139 22368401 12874902 23 589 68 23 585 68 1560493 89405
5202 1.208634 60620796 22815773 13132401 23 605 68 23 601 68 1591705 91190
5253 1.155231 61809453 23263145 13389900 23 604 68 23 602 68 1622917 91190
5304 1.223844 63021408 23719287 13652448 23 610 68 23 608 68 1654739 92977
5408 1.233919 64257136 24184375 13920144 23 614 68 23 612 68 1687187 94797
5460 1.247156 65492864 24649463 14187840 23 616 68 23 614 68 1719635 94797
5512 1.263837 66752347 25123493 14460684 23 624 68 23 621 68 1752705 96620
5618 1.288573 68036060 25606641 14738775 23 629 68 23 626 68 1786413 98475
5671 1.319913 69319773 26089789 15016866 23 629 68 23 626 68 1820121 98475
5724 1.339129 70627698 26582051 15300204 23 635 68 23 634 68 1854463 100333
5832 1.365979 71960310 27083603 15588888 23 637 68 23 636 68 1889455 102223
5886 1.397785 73292922 27585155 15877572 23 667 68 23 666 68 1924447 105139
5940 1.444243 74650203 28095993 16171602 23 675 68 23 670 68 1960085 107086
6050 1.427275 76032628 28616293 16471077 23 692 68 23 686 68 1996385 109121
6105 1.482526 77415053 29136593 16770552 23 692 69 23 687 68 2032685 112146
6160 1.489968 78822604 29666351 17075472 23 699 68 23 697 68 2069643 114185
6272 1.517795 80255756 30205743 17385936 23 701 68 23 700 68 2107275 116313
6328 1.540693 81688908 30745135 17696400 23 704 68 23 703 68 2144907 119449
6384 1.604688 83147643 31294157 18012408 23 711 68 23 709 68 2183209 121582
6498 1.574942 84632436 31852985 18334059 23 717 68 23 714 68 2222197 123805
6555 1.617205 86117229 32411813 18655710 23 717 68 23 714 68 2261185 127054
6612 1.665980 87628062 32980443 18983004 23 725 69 23 722 68 2300855 129283
6728 1.703053 89165410 33559051 19316040 23 728 69 23 725 68 2341223 131603
6786 1.780665 90702758 34137659 19649076 23 763 69 23 758 68 2381591 134967
6844 1.737627 92266603 34726241 19987854 23 767 69 23 764 68 2422653 137294
6962 1.783298 93857420 35324973 20332473 23 785 69 23 782 68 2464425 139713
7021 1.815392 95448237 35923705 20677092 23 786 69 23 782 68 2506197 143194
7080 1.844512 97066008 36532583 21027552 23 795 68 23 790 68 2548675 145622
7200 1.865105 98711208 37151783 21383952 23 801 69 23 796 68 2591875 148142
7260 1.918800 100356408 37770983 21740352 23 804 69 23 799 68 2635075 151742
7320 2.027098 102029019 38400501 22102692 23 814 72 23 807 68 2678993 154272
7442 2.037398 103729516 39040513 22471071 23 816 69 23 811 68 2723645 156895
7503 2.021646 105430013 39680525 22839450 23 815 69 23 810 68 2768297 160616
7564 2.037033 107158378 40331027 23213868 23 827 69 23 819 68 2813679 163250
7688 2.114534 108915086 40992195 23594424 23 833 69 23 821 68 2859807 165978
7750 2.100648 110671794 41653363 23974980 23 916 69 23 855 68 2905935 162134
7812 2.182427 112456827 42325193 24361674 23 919 69 23 861 68 2952805 164750
7938 2.172266 114270660 43007861 24754605 23 1194 69 23 881 68 3000433 167333
8001 2.183449 116084493 43690529 25147536 23 1105 69 23 881 68 3048061 163364
8064 2.277936 117927108 44384031 25546704 23 1138 69 23 889 68 3096443 165956
8192 2.277044 119798980 45088543 25952208 23 900 69 23 895 68 3145595 168516
8256 2.360154 121670852 45793055 26357712 23 914 74 23 898 71 3194747 172612
8320 2.319937 123571963 46508573 26769552 23 916 79 23 906 75 3244665 175309
8450 2.381576 125502788 47235273 27187827 23 978 80 23 909 78 3295365 178039
8515 2.409006 127433613 47961973 27606102 23 1122 80 23 909 78 3346065 182264
8580 2.488446 129394134 48699851 28030812 23 1144 84 23 918 78 3397543 185068
8712 2.473348 131384826 49449083 28462056 23 963 86 23 924 78 3449815 187906
8778 2.573684 133375518 50198315 28893300 23 1166 101 23 958 78 3502087 192262
8844 2.592318 135396363 50958897 29331078 23 1267 102 23 966 78 3555149 195175
8978 2.610845 137447836 51731005 29775489 23 1366 95 23 986 78 3609017 198123
9045 2.678616 139499309 52503113 30219900 23 1467 95 23 988 78 3662885 202612
9112 2.743268 141581392 53286743 30670944 23 1389 102 23 997 78 3717555 205636
9248 2.685052 143694560 54082071 31128720 23 1485 107 23 1002 78 3773043 208696
9316 2.818648 145807728 54877399 31586496 23 1626 109 23 1004 78 3828531 213320
9384 2.817977 147951963 55684421 32051004 23 1127 95 23 1013 78 3884833 216457
9522 2.898177 150127740 56503313 32522343 23 1340 133 23 1017 78 3941965 219631
9591 2.921294 152303517 57322205 32993682 23 1210 102 23 1017 78 3999097 224392
9660 2.864583 154510818 58152963 33471852 23 1194 107 23 1027 78 4057055 227644
9800 2.935251 156750118 58995763 33956952 23 1203 89 23 1032 78 4115855 230934
9870 2.970850 158989418 59838563 34442052 23 2867 97 23 1069 78 4174655 235834
9940 3.106669 161260699 60693401 34934082 23 2679 97 23 1077 78 4234293 239203
10082 3.117218 163564436 61560453 35433141 23 2435 147 23 1098 78 4294785 242611
10153 3.119560 165868173 62427505 35932200 23 2591 148 23 1098 78 4355277 247652
10224 3.239808 168204348 63306767 36438288 23 2448 157 23 1107 78 4416619 251140
10368 3.187303 170573436 64198415 36951504 23 1520 117 23 1113 78 4478827 254668
10440 3.254584 172942524 65090063 37464720 23 1470 122 23 1114 78 4541035 259852
10512 3.317466 175344507 65994093 37985064 23 1451 125 23 1124 78 4604105 263461
10658 3.369232 177779860 66910681 38512635 23 2280 147 23 1131 78 4668053 267111
10731 3.361494 180215213 67827269 39040206 23 2410 127 23 1130 78 4732001 272440
10804 3.570021 182683918 68756411 39575004 23 3634 143 23 1141 78 4796823 276172
10952 3.520741 185186450 69698283 40117128 23 3438 127 23 1145 78 4862535 279946
11026 3.541597 187688982 70640155 40659252 23 5445 138 23 1184 78 4928247 285422
11100 3.684049 190225323 71594753 41208702 23 6378 122 23 1193 78 4994845 289279
11250 3.764060 192795948 72562253 41765577 23 4186 172 23 1216 78 5062345 293179
11325 3.793092 195366573 73529753 42322452 23 4732 173 23 1217 78 5129845 298804
11400 3.824186 197971464 74510151 42886752 23 5127 191 23 1228 78 5198243 302788
11552 3.781885 200611096 75503623 43458576 23 5734 132 23 1234 78 5267555 306816
11628 3.889112 203250728 76497095 44030400 23 5756 174 23 1235 78 5336867 306816
11704 4.067518 205925083 77503637 44609748 23 5924 157 23 1246 78 5407089 310853
11858 4.038054 208634636 78523425 45196719 23 6504 160 23 1252 78 5478237 314857
11935 3.984549 211344189 79543213 45783690 23 6045 177 23 1251 78 5549385 314857
12012 4.059347 214088922 80576243 46378284 23 6046 173 23 1262 78 5621455 318946
12168 4.179695 216869310 81622691 46980600 23 10427 151 23 1265 78 5694463 323002
12246 4.221347 219649698 82669139 47582916 23 16902 156 23 1306 78 5767471 323002
12324 4.320984 222465723 83729001 48192954 23 17070 163 23 1315 78 5841413 327143
12482 4.341047 225317860 84802453 48810813 23 15505 219 23 1340 78 5916305 331251
12561 4.437815 228169997 85875905 49428672 23 15588 216 23 1340 78 5991197 331251
12640 4.468903 231058228 86962943 50054352 23 15529 201 23 1351 78 6067035 335444
12800 4.504274 233983028 88063743 50687952 23 13103 252 23 1357 78 6143835 339604
12880 4.621763 236907828 89164543 51321552 23 13891 205 23 1358 78 6220635 346004
12960 4.617465 239869179 90279101 51963072 23 14101 209 23 1369 78 6298393 350329
13122 4.684504 242867556 91407593 52612611 23 17250 220 23 1375 78 6377125 354703
13203 4.689838 245865933 92536085 53262150 23 16076 206 23 1375 78 6455857 361264
13284 4.862814 248901318 93678507 53919708 23 17887 221 23 1386 78 6535559 365724
13448 4.838137 251974186 94835035 54585384 23 17515 206 23 1390 78 6616247 370234
13530 4.948589 255047054 95991563 55251060 23 26381 249 23 1435 78 6696935 376958
13612 4.941553 258157387 97162193 55924854 23 26553 254 23 1445 78 6778605 381555
13778 5.077295 261305660 98347101 56606865 23 28843 350 23 1470 78 6861273 386203
13861 5.048439 264453933 99532009 57288876 23 27669 292 23 1471 78 6943941 393092
13944 5.116372 267640128 100731191 57979104 23 29097 300 23 1483 78 7027603 397828
14112 5.298452 270864720 101944823 58677648 23 35195 304 23 1489 78 7112275 402616
14196 5.290519 274089312 103158455 59376192 23 34075 309 23 1489 78 7196947 409672
14280 5.227775 277352283 104386533 60083052 23 34478 308 23 1499 78 7282625 414549
14450 5.202447 280654108 105629233 60798327 23 34630 414 23 1505 78 7369325 419479
14535 5.287419 283955933 106871933 61513602 23 37327 414 23 1505 78 7456025 426704
14620 5.418743 287296594 108129251 62237292 23 37190 421 23 1518 78 7543743 431724
14792 5.404259 290676566 109401363 62969496 23 36633 421 23 1523 78 7632495 436798
14878 5.524387 294056538 110673475 63701700 23 42221 421 23 1569 78 7721247 444194
14964 5.592265 297475803 111960377 64442418 23 42791 428 23 1579 78 7811029 449359
15138 5.644909 300934836 113262245 65191749 23 47294 428 23 1606 78 7901857 454579
15225 5.744369 304393869 114564113 65941080 23 47153 428 23 1607 78 7992685 462148
15312 5.886410 307892652 115880943 66699024 23 47729 435 23 1618 78 8084555 467460
15488 5.896052 311431660 117212911 67465680 23 45842 435 23 1626 78 8177483 472828
15576 6.037392 314970668 118544879 68232336 23 46599 435 23 1627 78 8270411 480572
15664 6.000170 318549883 119891981 69007704 23 47146 442 23 1639 78 8364393 486033
15842 5.978000 322169780 121254393 69791883 23 47591 442 23 1644 78 8459445 491551
15931 6.136901 325789677 122616805 70576062 23 47541 442 23 1644 78 8554497 499472
16020 6.508267 329450238 123994523 71369052 23 48118 449 23 1657 78 8650615 505084
16200 6.287416 333151938 125387723 72170952 23 50750 449 23 1662 78 8747815 510754
16290 6.475103 336853638 126780923 72972852 23 53277 449 23 1708 78 8845015 518854
16380 6.531612 340596459 128189601 73783662 23 53867 456 23 1720 78 8943293 524619
16562 6.781757 344380876 129613933 74603481 23 54442 456 23 1748 78 9042665 530443
16653 6.500365 348165293 131038265 75423300 23 54519 456 23 1750 78 9142037 538724
16744 6.611449 351991288 132478247 76252128 23 55070 463 23 1763 78 9242499 544644
16928 6.673517 355859336 133934055 77090064 23 55601 463 23 1769 78 9344067 550624
17020 7.059013 359727384 135389863 77928000 23 55699 463 23 1770 78 9445635 559088
17112 6.835484 363637467 136861493 78775044 23 56307 470 23 1782 78 9548305 565165
17298 7.032445 367590060 138349121 79631295 23 56748 470 23 1787 78 9652093 571303
17391 7.139097 371542653 139836749 80487546 23 56821 470 23 1788 78 9755881 579952
17484 7.301521 375537738 141340371 81353004 23 57430 477 23 1801 78 9860783 586188
17672 7.348912 379575790 142860163 82227768 23 58012 477 23 1806 78 9966815 592486
17766 7.421333 383613842 144379955 83102532 23 60386 477 23 1855 78 10072847 601322
17860 7.447389 387694843 145915913 83986602 23 61028 484 23 1868 78 10180005 607719
18050 7.313793 391819268 147468213 84880077 23 61526 484 23 1895 78 10288305 614179
18145 7.674952 395943693 149020513 85773552 23 61431 484 23 1894 78 10396605 623204
18240 7.711480 400111524 150589151 86676432 23 62075 491 23 1908 78 10506043 629764
18432 7.635120 404323236 152174303 87588816 23 62842 491 23 1916 78 10616635 636388
18528 7.961979 408534948 153759455 88501200 23 62937 491 23 1917 78 10727227 636388
18624 7.882452 412790523 155361117 89423088 23 63593 492 23 1930 78 10838969 643017
18818 7.924594 417090436 156979465 90354579 23 64089 508 23 1936 78 10951877 649710
18915 8.032039 421390349 158597813 91286070 23 64178 492 23 1938 78 11064785 649710
19012 8.182793 425734582 160232843 92227164 23 64837 493 23 1949 78 11178855 656408
19208 8.201719 430123610 161884731 93177960 23 65558 500 23 1958 78 11294103 663170
19306 8.213132 434512638 163536619 94128756 23 67930 505 23 2006 78 11409351 663170
19404 8.162877 438946443 165205361 95089254 23 68620 510 23 2019 78 11525773 669937
19602 8.474693 443425500 166891133 96059553 23 69217 499 23 2051 78 11643385 676768
19701 8.605199 447904557 168576905 97029852 23 69215 494 23 2051 78 11760997 676768
19800 8.584864 452428848 170279703 98009952 23 69909 497 23 2064 78 11879795 683604
20000 8.646123 456998848 171999703 98999952 23 70608 497 23 2071 78 11999795 690504
20100 8.580545 461568848 173719703 99989952 23 70706 496 23 2072 78 12119795 690504
20200 8.717098 466184539 175456901 100989852 23 71415 497 23 2084 78 12240993 697409
20402 9.090402 470846396 177211473 101999751 23 72222 498 23 2093 78 12363405 704378
20503 9.264764 475508253 178966045 103009650 23 72224 497 23 2096 78 12485817 704378
20604 8.946073 480216258 180737987 104029548 23 72936 497 23 2107 78 12609439 711352
20808 9.091322 484970886 182527475 105059544 23 73547 497 23 2113 78 12734287 718390
20910 9.196554 489725514 184316963 106089540 23 76127 504 23 2165 78 12859135 718390
21012 9.359121 494526747 186123993 107129634 23 76872 499 23 2178 78 12985205 725432
21218 9.391164 499375060 187948741 108179925 23 77526 504 23 2210 78 13112513 732539
21321 9.449122 504223373 189773489 109230216 23 77624 502 23 2212 78 13239821 732539
21424 9.623945 509118748 191615951 110290704 23 78372 502 23 2225 78 13368363 739650
